"","sample.cutoff","snp.categories","counts","state"
"1",1,"HomozygousSNP",69,"MN"
"2",1,"HeterozygousSNP",527,"MN"
"3",1,"Mixture",42,"MN"
"4",1,"Total",638,"MN"
"5",2,"HomozygousSNP",36,"MN"
"6",2,"HeterozygousSNP",97,"MN"
"7",2,"Mixture",42,"MN"
"8",2,"Total",175,"MN"
"9",3,"HomozygousSNP",16,"MN"
"10",3,"HeterozygousSNP",63,"MN"
"11",3,"Mixture",42,"MN"
"12",3,"Total",121,"MN"
"13",4,"HomozygousSNP",15,"MN"
"14",4,"HeterozygousSNP",47,"MN"
"15",4,"Mixture",21,"MN"
"16",4,"Total",83,"MN"
"17",5,"HomozygousSNP",14,"MN"
"18",5,"HeterozygousSNP",33,"MN"
"19",5,"Mixture",19,"MN"
"20",5,"Total",66,"MN"
"21",1,"HomozygousSNP",83,"NY"
"22",1,"HeterozygousSNP",1258,"NY"
"23",1,"Mixture",57,"NY"
"24",1,"Total",1398,"NY"
"25",2,"HomozygousSNP",21,"NY"
"26",2,"HeterozygousSNP",135,"NY"
"27",2,"Mixture",57,"NY"
"28",2,"Total",213,"NY"
"29",3,"HomozygousSNP",16,"NY"
"30",3,"HeterozygousSNP",74,"NY"
"31",3,"Mixture",56,"NY"
"32",3,"Total",146,"NY"
"33",4,"HomozygousSNP",16,"NY"
"34",4,"HeterozygousSNP",53,"NY"
"35",4,"Mixture",54,"NY"
"36",4,"Total",123,"NY"
"37",5,"HomozygousSNP",10,"NY"
"38",5,"HeterozygousSNP",45,"NY"
"39",5,"Mixture",36,"NY"
"40",5,"Total",91,"NY"
"41",1,"HomozygousSNP",86,"PA"
"42",1,"HeterozygousSNP",183,"PA"
"43",1,"Mixture",18,"PA"
"44",1,"Total",287,"PA"
"45",2,"HomozygousSNP",54,"PA"
"46",2,"HeterozygousSNP",42,"PA"
"47",2,"Mixture",18,"PA"
"48",2,"Total",114,"PA"
"49",3,"HomozygousSNP",32,"PA"
"50",3,"HeterozygousSNP",23,"PA"
"51",3,"Mixture",9,"PA"
"52",3,"Total",64,"PA"
"53",4,"HomozygousSNP",18,"PA"
"54",4,"HeterozygousSNP",16,"PA"
"55",4,"Mixture",9,"PA"
"56",4,"Total",43,"PA"
"57",5,"HomozygousSNP",18,"PA"
"58",5,"HeterozygousSNP",14,"PA"
"59",5,"Mixture",9,"PA"
"60",5,"Total",41,"PA"
"61",1,"HomozygousSNP",128,"VT"
"62",1,"HeterozygousSNP",968,"VT"
"63",1,"Mixture",4,"VT"
"64",1,"Total",1100,"VT"
"65",2,"HomozygousSNP",76,"VT"
"66",2,"HeterozygousSNP",136,"VT"
"67",2,"Mixture",4,"VT"
"68",2,"Total",216,"VT"
"69",3,"HomozygousSNP",74,"VT"
"70",3,"HeterozygousSNP",93,"VT"
"71",3,"Mixture",2,"VT"
"72",3,"Total",169,"VT"
"73",4,"HomozygousSNP",68,"VT"
"74",4,"HeterozygousSNP",72,"VT"
"75",4,"Mixture",1,"VT"
"76",4,"Total",141,"VT"
"77",5,"HomozygousSNP",48,"VT"
"78",5,"HeterozygousSNP",58,"VT"
"79",5,"Mixture",1,"VT"
"80",5,"Total",107,"VT"
