,SampleID,SeqID,CowID,State,Farm,Type,Mix,Date,uniID,Type2,Type2_num,Contamination,contam,ny,pa,vt ,own < f1,own < f2
61,120,MAP120,1261,NY,9,tissue,0,2006,NY_1261,LymphNode1,5,1,0,-1650.326975,-1848.10527,-2049.012571,0,0
63,122,MAP122,1261,NY,9,tissue,0,2006,NY_1261,Ileum_20cm_from_IC_Valve,4,1,0,-1649.328049,-1845.856233,-2046.914439,0,0
64,123,MAP123,1261,NY,9,tissue,0,2006,NY_1261,Ileum_IC_Valve,3,1,1,-1683.007734,-1605.990802,-1962.625095,1,0
67,127,MAP127,1283,NY,9,tissue,0,2006,NY_1283,LymphNode1,5,1,0,-1777.38039,-2090.528795,-2176.771355,0,0
68,128,MAP128,1283,NY,9,tissue,0,2006,NY_1283,LymphNode2,6,1,0,-1814.592064,-2232.19067,-2168.257027,0,0
70,130,MAP130,1283,NY,9,tissue,0,2006,NY_1283,Ileum_IC_Valve,3,1,0,-2010.601062,-2285.086838,-2181.438203,0,0
71,131,MAP131,1504,NY,9,tissue,0,2006,NY_1504,LymphNode1,5,1,0,-1735.267441,-1930.191609,-1972.325263,0,0
72,132,MAP132,1504,NY,9,tissue,0,2006,NY_1504,LymphNode2,6,1,0,-1909.96483,-2082.451803,-2051.376861,0,0
73,133,MAP133,1504,NY,9,tissue,0,2006,NY_1504,Ileum_20cm_from_IC_Valve,4,1,0,-1777.435815,-2090.587872,-2176.678819,0,0
74,134,MAP134,1504,NY,9,tissue,0,2006,NY_1504,Ileum_IC_Valve,3,1,0,-2208.821194,-2415.301419,-2302.045897,0,0
75,135,MAP135,1719,NY,9,tissue,0,2006,NY_1719,LymphNode1,5,1,0,-2129.4853,-2258.023503,-2300.189677,0,0
110,172,MAP172,1171,NY,9,tissue,0,2006,NY_1171,LymphNode1,5,1,1,-2850.774823,-2759.834105,-2728.788748,1,1
111,173,MAP173,1171,NY,9,tissue,0,2006,NY_1171,LymphNode2,6,1,1,-2951.459812,-2885.82292,-2750.619804,1,1
112,174,MAP174,1171,NY,9,tissue,0,2006,NY_1171,Ileum_20cm_from_IC_Valve,4,1,0,-2198.603172,-2220.78219,-2328.661048,0,0
113,175,MAP175,1171,NY,9,tissue,0,2006,NY_1171,Ileum_IC_Valve,3,1,0,-2511.306134,-2737.608012,-2626.401645,0,0
114,176,MAP176,1532,NY,9,tissue,0,2006,NY_1532,LymphNode1,5,1,1,-2191.155845,-2125.445152,-2086.800985,1,1
115,177,MAP177,1532,NY,9,tissue,0,2006,NY_1532,Ileum_20cm_from_IC_Valve,4,1,0,-1909.83665,-2082.408898,-2051.070077,0,0
116,178,MAP178,1532,NY,9,tissue,0,2006,NY_1532,Ileum_IC_Valve,3,1,0,-1869.902094,-1888.093874,-2097.474054,0,0
200,331,MAP331,496,PA,10,tissue,0,2006,PA_496,LymphNode1,5,1,0,-2272.516656,-2113.202055,-2235.133605,0,0
201,332,MAP332,496,PA,10,tissue,0,2006,PA_496,LymphNode2,6,1,0,-2621.440717,-2375.301626,-2466.847381,0,0
202,333,MAP333,496,PA,10,tissue,0,2006,PA_496,Ileum_20cm_from_IC_Valve,4,1,0,-1884.09804,-1764.811407,-2004.908752,0,0
204,335,MAP335,49,PA,10,tissue,0,2006,PA_49,LymphNode1,5,1,1,-1698.918476,-1743.095661,-1982.30456,1,0
205,336,MAP336,49,PA,10,tissue,0,2006,PA_49,LymphNode2,6,1,1,-1961.641531,-2060.634554,-2179.833367,1,0
206,337,MAP337,49,PA,10,tissue,0,2006,PA_49,Ileum_20cm_from_IC_Valve,4,1,1,-1649.207958,-1716.362619,-2045.625748,1,0
208,339,MAP339,244,PA,10,tissue,0,2006,PA_244,LymphNode2,6,1,0,-2627.6882,-2441.069147,-2466.51332,0,0
209,340,MAP340,244,PA,10,tissue,0,2006,PA_244,Ileum_20cm_from_IC_Valve,4,1,0,-2057.350542,-1795.571059,-2110.572696,0,0
210,341,MAP341,244,PA,10,tissue,0,2006,PA_244,LymphNode1,5,1,0,-2053.861538,-1825.962445,-2117.087752,0,0
277,469,MAP469,64,VT,11,tissue,0,2006,VT_64,LymphNode2,6,1,1,-2156.791721,-2294.60686,-2180.777714,1,0
278,470,MAP470,64,VT,11,tissue,0,2006,VT_64,Ileum_IC_Valve,3,1,1,-1920.676679,-2049.765424,-2076.264579,1,1
293,486,MAP486,211,VT,11,tissue,0,2006,VT_211,LymphNode2,6,1,1,-2204.855444,-2329.786121,-2400.250145,1,1
301,494,MAP494,64,VT,11,tissue,0,2006,VT_64,Ileum_20cm_from_IC_Valve,4,1,0,-2276.008525,-2309.124013,-2261.224242,0,0
365,562,MAP562,215,VT,11,tissue,0,2008,VT_215,Ileum_20cm_from_IC_Valve,4,1,0,-2877.606067,-2955.330307,-2806.897207,0,0
402,603,MAP603,124,VT,11,tissue,0,2005,VT_124,Ileum_IC_Valve,3,1,1,-2383.212244,-2534.813209,-2456.222072,1,0
